HS_Code,Total_USD_5yr,China_USD_5yr,India_USD_5yr,ROW_USD_5yr,Share_China_USD_pct,Share_India_USD_pct,Share_ROW_USD_pct,HHI_USD_aggregate_5yr,Total_KG_5yr_kg_valid_subset,China_KG_5yr_kg_valid_subset,India_KG_5yr_kg_valid_subset,Share_China_KG_pct_kg_valid_subset,Share_India_KG_pct_kg_valid_subset,Share_ROW_KG_pct_kg_valid_subset,kg_valid_USD_coverage_pct
294110,415451080,186119253,5936604,223395223,44.8,1.43,53.77,4900.4,7761966.0,1989479.0,99254.0,25.63,1.28,73.09,100.0
294130,271100800,205346266,418936,65335598,75.75,0.15,24.1,6318.2,9834368.087000001,9461479.006000001,1640.1280000000002,96.21,0.02,3.78,62.66
294150,78877393,44827991,11065253,22984149,56.83,14.03,29.14,4275.8,24089.057,9008.157,2422.262,37.4,10.06,52.55,16.86
294190,2698234092,561035458,141210000,1995988634,20.79,5.23,73.97,5931.9,9274120.0,4682547.0,678590.0,50.49,7.32,42.19,100.0
ALL_2941xx,3463663365,997328968,158630793,2307703604,28.79,4.58,66.63,5289.1,26894543.144,16142513.163,781906.39,60.02,2.91,37.07,95.18
