typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200.051","false","-1","N/A","0","false","200.051","false","0","false","241847","240700","241847","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","94250.466","false","-1","N/A","0","false","0","false","0","false","19954492","19815141","19954492","0","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33184.937","false","-1","N/A","0","false","33184.937","false","0","false","4735400","4659438","4735400","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1167.421","false","-1","N/A","0","false","1167.421","false","0","false","1097300","1086749","1097300","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2010689","false","-1","N/A","0","false","2010689","false","0","false","605358486","602477818","605358486","0","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1040074","false","-1","N/A","0","false","1040074","false","0","false","146112127","144707421","146112127","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","106496","false","-1","N/A","0","false","106496","false","0","false","21699403","21601977","21699403","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1284186","false","8","kg","1284186","false","1284186","false","0","false","79074767","0","79074767","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","319766","false","8","kg","319766","false","319766","false","0","false","48407459","0","48407459","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24119","false","8","kg","24119","false","24119","false","0","false","1424022","0","1424022","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","15","g","2595892288","false","0","true","0","false","57147561","0","57147561","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2577640","false","15","g","2577640000","false","2577640","false","0","false","42706868","0","42706868","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","15","g","3","false","0","true","0","false","13706","0","13706","6","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","15","g","84048812","false","0","true","0","false","19216918","0","19216918","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48216.2","false","15","g","48216200","false","48216.2","false","0","false","9677320","0","9677320","0","true","false",
